Ref,Val,Package,PosX,PosY,Rot,Side
"","","",51.600000,65.600000,0.000000,top
"","","",59.250640,12.300270,0.000000,top
"","","",69.600010,65.600000,0.000000,top
"","","",71.400010,65.600000,0.000000,top
"","","",73.200010,65.600000,0.000000,top
"","","",75.000020,65.600000,0.000000,top
"","","",76.800020,65.600000,0.000000,top
"","","",78.600020,65.600000,0.000000,top
"","","",80.400020,65.600000,0.000000,top
"","","",82.200020,65.600000,0.000000,top
"","","",84.000020,65.600000,0.000000,top
"","","",85.800020,65.600000,0.000000,top
"","","",87.600030,65.600000,0.000000,top
"","","",53.400000,65.600000,0.000000,top
"","","",78.249680,12.300270,0.000000,top
"","","",67.800010,65.600000,0.000000,top
"","","",66.000010,65.600000,0.000000,top
"","","",64.200010,65.600000,0.000000,top
"","","",62.400010,65.600000,0.000000,top
"","","",60.600000,65.600000,0.000000,top
"","","",58.800000,65.600000,0.000000,top
"","","",49.799990,65.600000,0.000000,top
"","","",57.000000,65.600000,0.000000,top
"","","",55.200000,65.600000,0.000000,top
"C1","4.7uF/50V","CAPC0805_M",76.100000,44.350000,0.000000,top
"C2","4.7uF/50V","CAPC0805_M",76.100000,46.850000,0.000000,top
"C3","0.47uF,630V,X7T","CKG57N_2220",71.094600,16.281400,0.000000,top
"C5","100n","CAPC0603_M",59.613800,45.237400,90.000000,top
"D1","DSS13UTR","DSS13UTR",83.600000,116.350000,0.000000,top
"D2","MURA160T3G","DO-214AC",74.350000,33.850000,0.000000,top
"D3","DSS13UTR","DSS13UTR",75.311000,54.203000,90.000000,top
"D4","DSS13UTR","DSS13UTR",82.850000,57.350000,90.000000,top
"D5","DSS13UTR","DSS13UTR",62.966600,54.000400,90.000000,top
"D6","LED, 0603, Red","LED-0603-RED",83.850000,87.850000,-90.000000,top
"D7","MM3Z18VB","SOD323",60.452000,29.337000,90.000000,top
"D8","LED, 0603, Green","LED-0603-GREEN",54.350000,89.550000,-90.000000,top
"D9","LED, 0603, Red","LED-0603-RED",51.850000,89.550000,-90.000000,top
"J1","EDGE-SMA","CON-SMA-MALE-PCB-EDGE062",69.519800,6.375400,-90.000000,top
"J2","1x2_Pin_Header","22-23-2021",84.600000,111.620000,-90.000000,top
"J3","BG306-02-A-2-0400-L-G","BG306-R2-2PIN",73.406000,27.764200,0.000000,top
"MH1","M3, Tight Fit","MOUNT_M3_TIGHT",52.600000,14.600000,0.000000,top
"MH2","M3, Tight Fit","MOUNT_M3_TIGHT",84.600000,14.600000,0.000000,top
"MH3","M3, Tight Fit","MOUNT_M3_TIGHT",52.600000,116.100000,0.000000,top
"P1","Header 7","HDR1X7",51.200000,110.500000,-90.000000,top
"P2","Header 2","HDR1X2",56.100000,61.350000,0.000000,top
"P3","Header 4","HDR1X4",74.060000,61.350000,0.000000,top
"Q1","LDA111STR","SOP254P952X470-6N",69.342000,49.804000,90.000000,top
"Q2","RGT16BM65DTL","DPAK_TO-252AA_M",63.810800,19.949600,90.000000,top
"Q3","AO3422","SOT95P245X110-3M",77.089000,38.735000,-90.000000,top
"Q4","AO3422","SOT95P245X110-3M",62.306200,45.237400,-90.000000,top
"R1","20M","RESC5025X06N",67.600000,40.300000,-90.000000,top
"R2","300K","RESC6432X06N",73.634600,24.688800,0.000000,top
"R3","10R","RESC1608X55N",63.627000,49.809400,-90.000000,top
"R4","75R","RESC2012X70N",75.100000,49.600000,-90.000000,top
"R5","1k","RESC1608X55N",77.600000,42.100000,180.000000,top
"R6","22k","RESC1608X55N",70.750000,56.600000,180.000000,top
"R7","10R","RESC1608X55N",60.452000,33.363800,-90.000000,top
"R9","2k","RESC2012X70N",61.100000,36.850000,0.000000,top
"R10","1k","RESC1608X55N",60.756800,50.190400,180.000000,top
"R11","1k","RESC1608X55N",51.800000,92.400000,0.000000,top
"R12","1k","RESC1608X55N",55.400000,94.000000,0.000000,top
"R13","1k","RESC1608X55N",83.850000,93.600000,90.000000,top
"SW1","KSC741J LFS","CK_KSC7J",84.600000,101.600000,90.000000,top
"SW2","KSC741J LFS","CK_KSC7J",53.000000,79.500000,90.000000,top
"SW3","KSC741J LFS","CK_KSC7J",65.481200,32.308800,90.000000,top
"T1","ATB322524","ATB322524",73.152000,38.989000,90.000000,top
"T2","ATB322524","ATB322524",61.341000,41.402000,180.000000,top
"U1","SC0915","MODULE_SC0915_TH",68.796000,92.757000,0.000000,top
