Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAPC0805_M,2,4.7uF/50V,
C3,CKG57N_2220,1,"0.47uF,630V,X7T",
C5,CAPC0603_M,1,100n,
"D1, D3, D4, D5",DSS13UTR,4,DSS13UTR,
D2,DO-214AC,1,MURA160T3G,
"D6, D9",LED-0603-RED,2,"LED, 0603, Red",
D7,SOD323,1,MM3Z18VB,
D8,LED-0603-GREEN,1,"LED, 0603, Green",
J1,CON-SMA-MALE-PCB-EDGE062,1,EDGE-SMA,
J2,22-23-2021,1,1x2_Pin_Header,
J3,BG306-R2-2PIN,1,BG306-02-A-2-0400-L-G,
"MH1, MH2, MH3",MOUNT_M3_TIGHT,3,"M3, Tight Fit",
P1,HDR1X7,1,Header 7,
P2,HDR1X2,1,Header 2,
P3,HDR1X4,1,Header 4,
Q1,SOP254P952X470-6N,1,LDA111STR,
Q2,DPAK_TO-252AA_M,1,RGT16BM65DTL,
"Q3, Q4",SOT95P245X110-3M,2,AO3422,
R1,RESC5025X06N,1,20M,
"R10, R11, R12, R13, R5",RESC1608X55N,5,1k,
R2,RESC6432X06N,1,300K,
"R3, R7",RESC1608X55N,2,10R,
R4,RESC2012X70N,1,75R,
R6,RESC1608X55N,1,22k,
R9,RESC2012X70N,1,2k,
"SW1, SW2, SW3",CK_KSC7J,3,KSC741J LFS,
"T1, T2",ATB322524,2,ATB322524,
U1,MODULE_SC0915_TH,1,SC0915,
