Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,4.7uF/50V,C2012X5R1H475K125AB
C3,2220,1,"0.47uF,630V,X7T",KRM55TR72J474MH01K
"C5, C6",0603,2,100n,C0603C104K5RACTU
"D1, D3, D4, D5",D_SOD-123FL,4,SM4005PL-TP,SM4005PL-TP
D2,D_SMA,1,MURA160T3G,MURA160T3G
"D6, D9",0603,2,"LED, 0603, Red",APT1608SURCK
D7,D_SOD-323F,1,MM3Z18VB,MM3Z18VB
D8,0603,1,"LED, 0603, Green",APT1608CGCK
"J1, J4",SMA_Amphenol_132289_EdgeMount,2,EDGE-SMA,132289
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,1x2_Pin_Header,S2B-XH-A(LF)(SN)
J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,"MKDS 1,5/2-5.08",1715721
P1,PinHeader_1x07_P2.54mm_Vertical,1,Header 7,
P2,PinHeader_1x02_P2.54mm_Vertical,1,Header 2,
P3,PinHeader_1x04_P2.54mm_Vertical,1,Header 4,
Q1,SOP-6_LDA111,1,LDA111STR,LDA111STR
Q2,TO-252-3_TabPin2,1,RGT16BM65DTL,RGT16BM65DTL
"Q3, Q4",SOT-23,2,AO3422,AO3422
R1,2010,1,20M,CRMA2010AF20M0FKEF
"R10, R11, R12, R13, R5",0603,5,1k,RC0603FR-071KL
R14,0603,1,100R,RC0603FR-07100RL
R15,0603,1,10k,RC0603FR-0710KL
R2,2512,1,300K,3522300KFT
"R3, R7",0603,2,10R,RC0603FR-0710RL
R4,0805,1,75R,RC0805FR-0775RL
R6,0603,1,22k,RC0603FR-0722KL
R9,0805,1,2k,RC0805FR-072KL
"SW1, SW2",SW_Push_1P1T_NO_CK_KSC7xxJ,2,KSC741J LFS,KSC741JLFS
SW3,SW_Push_ESwitch_TL3301AJ,1,TL3301AF160QJ,TL3301AF160QJ
"T1, T2",ATB322524,2,ATB322524,ATB322524-0110-T000
U1,RaspberryPi_Pico_SMD,1,SC0915,SC0915
U2,SOT-23-5,1,74LVC1G17,"74LVC1G17GV,125"
