Designator,Mid X,Mid Y,Rotation,Layer
C1,27.0,39.65,180.0,top
C2,27.0,41.65,180.0,top
C3,21.84,10.56,270.0,top
C5,10.2,40.0,0.0,top
C6,7.1,114.4,270.0,top
D1,34.8,113.2,0.0,top
D2,26.6,31.9,0.0,top
D3,20.4,51.5,0.0,top
D4,26.95,51.5,0.0,top
D5,14.45,51.5,0.0,top
D6,3.7125,92.5,0.0,top
D7,9.6,25.2,0.0,top
D8,3.7125,90.8,0.0,top
D9,37.175,92.15,180.0,top
FID1,9.99,126.028,0.0,top
FID2,35.99,108.9,0.0,top
FID3,3.99,62.025,0.0,top
J1,19.99,0.028,90.0,top
J2,29.545,119.95,90.0,top
J3,28.2,19.84,90.0,top
J4,33.0,130.028,270.0,top
MH3,3.99,126.028,0.0,top
P1,6.6,103.07,0.0,top
P2,14.87,57.65,90.0,top
P3,23.85,57.65,90.0,top
Q1,20.0,44.2,0.0,top
Q2,14.79,13.7,90.0,top
Q3,29.6,44.7,180.0,top
Q4,10.8,43.2,180.0,top
R1,17.4752,33.4772,90.0,top
R10,12.5,46.5,180.0,top
R11,6.7071,92.5,180.0,top
R12,6.7071,90.8,180.0,top
R13,33.925,92.15,0.0,top
R14,10.2,115.8,180.0,top
R15,9.4,118.4,90.0,top
R2,26.6,27.4,0.0,top
R3,13.2,40.0,0.0,top
R4,26.0,44.9125,90.0,top
R5,28.5,48.5,270.0,top
R6,23.7,51.825,90.0,top
R7,9.6,32.0,0.0,top
R9,9.6,28.4,180.0,top
SW1,35.6,98.1,90.0,top
SW2,4.3,79.0,270.0,top
SW3,16.292,22.851,90.0,top
T1,27.49,36.9,180.0,top
T2,12.49,36.9,180.0,top
U1,19.99,89.1029,0.0,top
U2,6.6,118.4,90.0,top
